ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
chicken drumstick eat leg skin stew thigh,1 medium leg,130.0,12.0,0.0,1.13,7.5,24.0,24.1,399.0,8.0,0.0,0.2
chicken nugget,1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
chicken fast food nugget,1 chicken bite,16.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
chicken freeze nugget,Quantity not specified,80.0,52.0,17.88,1.06,19.23,28.0,13.36,600.0,18.0,0.4,0.3
chicken nugget source,1 nugget,16.0,23.0,15.81,0.9,20.02,25.0,15.15,596.0,9.0,0.5,0.2
chicken nugget restaurant,1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
chicken lunch nugget school,1 cup,140.0,32.0,22.86,1.99,12.9,24.0,15.67,511.0,16.0,0.6,0.3
broccoli carrorts chicken cream darkgreen exclude king la leafy potato sauce soupbased turkey vegetable white,1 cup,241.0,60.0,6.31,0.7,13.34,14.0,9.57,482.0,109.0,2.0,0.7
andor broccoli carrot chicken cream darkgreen include king la leafy potato sauce soupbased turkey vegetable white,1 Banquet's Cookin' Bag (4.5 oz),128.0,63.0,6.76,0.63,13.8,14.0,9.41,428.0,246.0,2.6,1.0
cheese chicken noodle sauce turkey,1 cup,224.0,97.0,13.56,0.9,6.16,19.0,8.95,341.0,28.0,0.2,0.3
chicken cream noodle sauce turkey white,1 cup,224.0,45.0,15.24,0.94,5.51,18.0,7.39,343.0,45.0,0.0,0.4
chicken gravy noodle turkey,1 cup,224.0,12.0,15.23,0.94,5.67,16.0,6.99,350.0,5.0,0.0,0.1
chicken mushroom noodle sauce turkey,1 cup,224.0,24.0,14.86,0.89,5.46,16.0,6.92,337.0,10.0,0.0,0.2
chicken noodle sauce soybased turkey,Quantity not specified,224.0,19.0,7.6,0.54,9.02,16.0,11.61,391.0,6.0,1.8,0.0
chicken noodle sauce tomatobased turkey,Quantity not specified,280.0,13.0,15.17,1.22,5.44,20.0,7.12,343.0,12.0,2.2,0.1
chicken noodle sauce turkey,Quantity not specified,196.0,11.0,15.47,1.04,6.14,17.0,7.73,353.0,5.0,0.0,0.1
chicken gravy potato turkey,1 cup,242.0,11.0,9.04,0.66,6.35,15.0,7.47,428.0,2.0,6.1,0.0
chicken cream rice sauce turkey,1 cup,248.0,48.0,12.78,0.83,5.86,15.0,8.13,380.0,59.0,1.2,0.5
chicken mushroom rice sauce turkey,Quantity not specified,310.0,22.0,15.43,0.71,5.48,11.0,5.67,346.0,7.0,0.0,0.2
chicken rice sauce soybased turkey,Quantity not specified,244.0,20.0,8.01,0.74,9.21,18.0,11.97,395.0,6.0,1.9,0.0
chicken rice sauce tomatobased turkey,Quantity not specified,305.0,12.0,15.66,1.0,6.18,14.0,5.72,349.0,8.0,2.1,0.0
chicken rice sauce turkey,1 cup,196.0,10.0,16.97,0.86,5.84,12.0,6.46,353.0,2.0,0.0,0.0
broccoli carrot cheese chicken darkgreen exclude leafy potato sauce turkey vegetable,Quantity not specified,249.0,132.0,5.54,0.43,7.24,18.0,9.87,365.0,38.0,1.2,0.4
broccoli carrot chicken darkgreen exclude gravy leafy potato turkey vegetable,Quantity not specified,252.0,15.0,6.43,0.39,7.45,14.0,7.16,368.0,7.0,1.2,0.0
broccoli carrot chicken darkgreen exclude leafy potato sauce turkey vegetable,1 cup,162.0,14.0,5.08,0.45,7.96,16.0,8.72,379.0,9.0,1.5,0.0
broccoli carrot chicken darkgreen exclude leafy potato sauce soybased turkey vegetable,1 cup,217.0,22.0,4.39,0.6,8.22,19.0,10.7,352.0,11.0,13.2,0.0
broccoli carrot chicken darkgreen exclude leafy potato sauce tomatobased turkey vegetable,1 cup,249.0,17.0,6.35,0.79,7.81,19.0,7.28,366.0,17.0,4.4,0.0
andor broccoli carrot cheese chicken darkgreen include leafy potato sauce turkey vegetable,1 cup,249.0,135.0,3.88,0.43,7.24,15.0,9.83,353.0,152.0,5.8,0.4
andor broccoli carrot chicken darkgreen gravy include leafy potato turkey vegetable,1 cup,252.0,19.0,4.47,0.4,7.44,11.0,7.1,367.0,141.0,6.5,0.0
andor broccoli carrot chicken darkgreen include leafy potato sauce turkey vegetable,1 cup,162.0,21.0,2.88,0.5,7.78,13.0,9.66,386.0,200.0,9.3,0.0
andor broccoli carrot chicken darkgreen include leafy potato sauce soybased turkey vegetable,1 cup,217.0,20.0,5.38,0.56,4.56,15.0,8.18,413.0,56.0,8.1,0.0
andor broccoli carrot chicken darkgreen include leafy potato sauce tomatobased turkey vegetable,1 cup,249.0,20.0,4.42,0.79,7.8,16.0,7.23,365.0,149.0,9.7,0.0
cacciatore chicken turkey,1 slice of chicken with sauce,24.0,42.0,6.92,1.02,10.62,21.0,13.19,664.0,18.0,5.4,0.1
andor caesar cheese chicken chicken dress garden lettuce salad tomato turkey turkey,1 cup,90.0,56.0,2.99,0.42,1.94,24.0,8.52,265.0,182.0,8.8,0.0
cake chicken croquette patty turkey,1 cubic inch,14.2,22.0,2.59,0.86,18.75,20.0,20.83,575.0,25.0,0.3,0.3
chicken chop chow mein noodle suey turkey,1 cup,220.0,19.0,11.15,1.25,5.43,14.0,9.91,408.0,10.0,4.2,0.0
chicken chop chow mein noodle suey turkey,Quantity not specified,165.0,21.0,3.84,0.52,3.23,14.0,9.78,344.0,11.0,4.8,0.0
bleu chicken cordon turkey,1 roll (1/2 breast with ham and sauce),229.0,97.0,9.29,1.13,9.17,25.0,22.64,589.0,52.0,1.8,0.2
chicken creole rice turkey without,Quantity not specified,246.0,24.0,2.99,0.72,4.22,19.0,13.8,364.0,16.0,12.1,0.0
chicken divan turkey,Quantity not specified,236.0,97.0,4.01,0.71,7.26,19.0,15.51,295.0,69.0,16.9,0.3
chicken fricassee turkey,Quantity not specified,244.0,9.0,3.54,0.55,7.16,10.0,10.68,418.0,3.0,0.0,0.2
chicken fricassee potato puerto rican sauce style turkey,Quantity not specified,223.0,14.0,0.0,0.71,11.01,22.0,25.15,742.0,8.0,0.0,0.0
chicken fricassee potato potato puerto report rican sauce separately style turkey,Quantity not specified,223.0,17.0,2.54,0.71,13.12,17.0,14.0,593.0,11.0,10.1,0.1
andor andor andor bacon bacon carrot cheese cheese chicken chicken dress garden green lettuce salad tomato turkey turkey vegetable,1 salad,321.0,94.0,3.0,0.37,5.61,23.0,10.95,228.0,189.0,6.3,0.1
andor andor andor carrot cheese cheese chicken chicken dress garden green lettuce salad tomato turkey turkey vegetable,1 Burger King salad,370.0,97.0,3.02,0.35,4.52,23.0,10.26,176.0,194.0,6.4,0.1
andor carrot chicken chicken dress exclude garden salad tomato turkey turkey vegetable,1 cup,90.0,25.0,2.62,0.37,1.41,22.0,10.85,140.0,115.0,10.1,0.0
andor andor carrot chicken chicken dress garden salad tomato turkey turkey vegetable,Quantity not specified,344.0,25.0,3.04,0.36,1.33,21.0,10.1,136.0,161.0,6.4,0.0
chicken hash turkey,1 cup,190.0,24.0,8.27,0.67,4.1,22.0,9.57,259.0,8.0,4.0,0.1
chicken parmigiana turkey,Quantity not specified,209.0,117.0,8.3,1.01,8.34,21.0,16.25,414.0,50.0,2.0,0.2
chicken egg salad turkey,1 cup,226.0,22.0,2.73,0.53,18.06,14.0,13.81,453.0,27.0,0.7,0.2
andor chicken fruit nut salad turkey,Quantity not specified,113.0,31.0,6.11,0.6,17.91,27.0,12.51,391.0,13.0,1.0,0.0
chicken dress italian make salad turkey,Quantity not specified,113.0,21.0,5.37,0.47,7.84,16.0,13.62,564.0,13.0,0.8,0.0
chicken dress fat free make salad turkey type,1 cup,226.0,19.0,6.28,0.44,3.81,15.0,13.32,525.0,12.0,0.7,0.0
chicken creamy dress make salad turkey,Quantity not specified,113.0,24.0,4.02,0.48,13.09,15.0,13.76,526.0,16.0,0.7,0.0
chicken dress italian light make salad turkey,Quantity not specified,113.0,21.0,4.93,0.47,4.71,15.0,13.56,543.0,13.0,0.7,0.0
chicken creamy dress light make salad turkey,1 cup,226.0,19.0,4.28,0.44,6.36,15.0,13.75,532.0,15.0,0.8,0.0
chicken light make mayonnaise salad turkey,Quantity not specified,113.0,19.0,4.76,0.44,8.15,15.0,13.55,529.0,14.0,0.7,0.0
chicken dress light make mayonnaisetype salad salad turkey,1 cup,226.0,19.0,4.76,0.44,8.15,15.0,13.55,529.0,14.0,0.7,0.0
chicken make mayonnaise salad turkey,Quantity not specified,113.0,20.0,2.88,0.46,18.76,15.0,13.92,484.0,16.0,0.8,0.0
chicken dress make mayonnaisetype salad salad turkey,Quantity not specified,113.0,19.0,5.95,0.44,7.95,15.0,13.68,490.0,14.0,0.7,0.0
chicken exclude kabob potato shish turkey vegetable,1 shishkabob,202.0,17.0,5.06,0.5,3.69,18.0,13.04,346.0,14.0,15.0,0.0
chicken souffle turkey,1 cup,159.0,73.0,5.59,0.86,11.33,15.0,11.72,380.0,132.0,0.0,1.2
chicken tetrazzini turkey,1 cup,246.0,18.0,6.96,0.43,4.79,14.0,11.96,386.0,22.0,0.0,0.1
cheese chicken sauce turkey,1 cup,241.0,103.0,1.64,0.61,8.9,22.0,21.77,527.0,30.0,0.2,0.3
chicken cream sauce turkey,1/2 chicken breast with sauce,129.0,46.0,2.75,0.61,7.48,20.0,19.82,510.0,47.0,0.0,0.4
chicken dumpling turkey,Quantity not specified,244.0,50.0,8.04,0.99,5.55,17.0,15.69,488.0,9.0,0.0,0.1
chicken mushroom sauce turkey,1 slice of chicken with sauce,22.0,25.0,1.84,0.55,5.7,18.0,19.29,521.0,12.0,0.0,0.1
chicken stuff turkey,1 cup,200.0,25.0,11.74,1.09,4.88,22.0,20.04,454.0,6.0,0.0,0.0
chicken teriyaki turkey,1 chicken leg with sauce,145.0,16.0,1.62,0.86,5.96,28.0,25.73,723.0,8.0,0.0,0.0
andor bread caesar cheese chicken chicken dress fry garden lettuce salad tomato turkey turkey,1 salad,314.0,53.0,7.08,0.53,6.85,24.0,6.31,247.0,171.0,8.5,0.1
andor andor andor bacon bacon bread carrot cheese cheese chicken chicken dress fry garden green lettuce salad tomato turkey turkey vegetable,Quantity not specified,324.0,65.0,6.36,0.46,7.72,22.0,6.78,256.0,192.0,7.1,0.1
andor andor andor bread carrot cheese cheese chicken chicken dress fry garden green lettuce salad tomato turkey turkey vegetable,1 Burger King salad,370.0,98.0,6.47,0.44,7.9,22.0,6.5,217.0,253.0,7.9,0.1
broccoli carrot chicken dark dumpling exclude gravy green leafy turkey vegetable,1 cup,249.0,71.0,12.8,0.92,6.22,13.0,5.65,340.0,10.0,0.7,0.1
andor broccoli carrot chicken dark dumpling gravy green include leafy turkey vegetable,1 cup,249.0,73.0,11.62,0.92,6.64,11.0,5.59,344.0,87.0,3.8,0.1
broccoli carrot cheese chicken darkgreen exclude leafy noodle sauce turkey vegetable,1 cup,244.0,97.0,15.32,0.97,5.97,22.0,8.93,340.0,29.0,0.9,0.3
broccoli carrot chicken darkgreen exclude gravy leafy noodle turkey vegetable,1 cup,224.0,14.0,14.86,0.88,5.2,17.0,6.13,344.0,7.0,0.7,0.0
broccoli carrot chicken darkgreen exclude leafy noodle sauce turkey vegetable,1 cup,162.0,16.0,18.11,1.15,5.41,22.0,8.0,352.0,9.0,0.9,0.1
broccoli carrot chicken darkgreen exclude leafy noodle sauce tomatobased turkey vegetable,1 cup,224.0,15.0,14.69,1.1,5.84,20.0,6.19,342.0,12.0,2.5,0.0
andor broccoli carrot chicken cream darkgreen exclude leafy mushroom noodle sauce sauce sauce turkey vegetable white,1 cup,224.0,24.0,14.49,0.83,5.64,17.0,6.09,345.0,11.0,0.6,0.2
andor broccoli carrot cheese chicken darkgreen include leafy noodle sauce turkey vegetable,Quantity not specified,305.0,99.0,14.16,0.97,5.97,20.0,8.9,346.0,108.0,4.0,0.3
andor broccoli carrot chicken cream darkgreen include leafy mushroom noodle sauce sauce sauce turkey vegetable white,1 cup,224.0,26.0,13.46,0.83,5.64,15.0,6.06,338.0,82.0,3.5,0.2
andor broccoli carrot chicken darkgreen gravy include leafy noodle turkey vegetable,1 cup,224.0,16.0,13.69,0.88,5.62,15.0,6.08,335.0,83.0,3.8,0.0
andor broccoli carrot chicken darkgreen include leafy noodle sauce turkey vegetable,1 cup,162.0,18.0,16.59,1.15,5.46,20.0,7.95,351.0,112.0,5.1,0.1
andor broccoli carrot chicken darkgreen include leafy noodle sauce tomatobased turkey vegetable,1 cup,224.0,17.0,13.58,1.1,5.84,18.0,6.16,348.0,88.0,5.6,0.0
broccoli carrot cheese chicken darkgreen exclude leafy potato sauce turkey vegetable,Quantity not specified,252.0,94.0,12.86,0.44,5.93,22.0,7.57,337.0,26.0,4.2,0.3
broccoli carrot chicken cream darkgreen exclude leafy mushroom potato sauce sauce sauce turkey vegetable white,Quantity not specified,252.0,22.0,12.14,0.35,6.75,16.0,4.84,338.0,9.0,3.6,0.1
broccoli carrot chicken darkgreen exclude gravy leafy potato turkey vegetable,1 cup,252.0,12.0,12.27,0.36,6.82,17.0,4.75,336.0,4.0,3.9,0.0
broccoli carrot chicken darkgreen exclude leafy potato sauce turkey vegetable,1 cup,162.0,13.0,14.81,0.45,5.7,21.0,6.21,356.0,5.0,5.3,0.0
broccoli carrot chicken darkgreen exclude leafy potato sauce tomatobased turkey vegetable,1 cup,252.0,13.0,12.18,0.58,7.03,20.0,4.84,335.0,9.0,5.6,0.0
andor broccoli carrot cheese chicken darkgreen include leafy potato sauce turkey vegetable,Quantity not specified,252.0,96.0,11.71,0.44,5.93,20.0,7.54,343.0,104.0,7.3,0.3
andor broccoli carrot chicken cream darkgreen include leafy mushroom potato sauce sauce sauce turkey vegetable white,1 cup,252.0,23.0,11.08,0.35,7.12,14.0,4.79,342.0,78.0,6.4,0.1
andor broccoli carrot chicken darkgreen gravy include leafy potato turkey vegetable,1 cup,252.0,14.0,11.17,0.36,6.82,15.0,4.72,342.0,79.0,6.9,0.0
andor broccoli carrot chicken darkgreen include leafy potato sauce turkey vegetable,1 cup,162.0,16.0,13.29,0.45,5.97,19.0,6.16,345.0,107.0,9.3,0.0
andor broccoli carrot chicken darkgreen include leafy potato sauce tomatobased turkey vegetable,1 cup,252.0,15.0,11.09,0.58,7.02,18.0,4.81,341.0,84.0,8.6,0.0
cheese chicken corn gravy potato turkey,Quantity not specified,531.0,41.0,13.27,0.43,6.11,17.0,4.51,353.0,26.0,0.7,0.2
broccoli carrot cheese chicken darkgreen exclude leafy rice sauce turkey vegetable,1 cup,249.0,96.0,16.69,0.85,5.16,18.0,8.09,338.0,26.0,0.9,0.3
broccoli carrot chicken cream darkgreen exclude leafy mushroom rice sauce sauce sauce turkey vegetable white,Quantity not specified,315.0,23.0,15.67,0.72,5.29,13.0,5.31,342.0,9.0,0.6,0.1
broccoli carrot chicken darkgreen exclude gravy leafy rice turkey vegetable,Quantity not specified,315.0,13.0,16.03,0.75,5.46,13.0,5.25,339.0,4.0,0.7,0.0
broccoli carrot chicken darkgreen exclude leafy rice sauce turkey vegetable,1 cup,162.0,14.0,19.78,0.98,4.96,17.0,6.85,356.0,5.0,0.9,0.0
broccoli carrot chicken darkgreen exclude leafy rice sauce soybased turkey vegetable,1 cup,217.0,20.0,7.79,0.69,7.15,18.0,9.64,305.0,10.0,11.4,0.0
broccoli carrot chicken darkgreen exclude leafy rice sauce tomatobased turkey vegetable,Quantity not specified,311.0,14.0,15.94,0.98,5.48,16.0,5.35,339.0,10.0,2.5,0.0
andor broccoli carrot cheese chicken darkgreen include leafy rice sauce turkey vegetable,1 cup,249.0,98.0,15.54,0.85,5.15,16.0,8.05,344.0,105.0,4.0,0.3
andor broccoli carrot chicken cream darkgreen include leafy mushroom rice sauce sauce sauce turkey vegetable white,Quantity not specified,315.0,25.0,14.57,0.72,5.68,11.0,5.26,346.0,79.0,3.5,0.1
andor broccoli carrot chicken darkgreen gravy include leafy rice turkey vegetable,Quantity not specified,315.0,15.0,14.89,0.75,5.66,11.0,5.21,344.0,80.0,3.7,0.0
andor broccoli carrot chicken darkgreen include leafy rice sauce turkey vegetable,1 cup,162.0,17.0,18.2,0.98,5.47,14.0,6.78,345.0,108.0,5.0,0.0
andor broccoli carrot chicken darkgreen include leafy rice sauce soybased turkey vegetable,Quantity not specified,217.0,26.0,7.95,0.69,6.92,18.0,9.36,307.0,120.0,12.8,0.0
andor broccoli carrot chicken darkgreen include leafy rice sauce tomatobased turkey vegetable,Quantity not specified,311.0,16.0,14.84,0.98,5.47,14.0,5.32,345.0,85.0,5.5,0.0
cheese chicken corn gravy rice turkey,Quantity not specified,480.0,44.0,14.43,0.7,7.85,16.0,5.62,424.0,19.0,0.8,0.3
broccoli carrot chicken darkgreen exclude gravy leafy stuff turkey vegetable,Quantity not specified,244.0,21.0,11.81,0.63,6.82,13.0,5.22,355.0,54.0,0.7,0.0
andor broccoli carrot chicken darkgreen gravy include leafy stuff turkey vegetable,Quantity not specified,244.0,25.0,11.27,0.66,7.18,11.0,5.46,380.0,136.0,3.9,0.0
andor broccoli carrot chicken darkgreen include leafy sauce stuff turkey vegetable,Quantity not specified,162.0,30.0,13.28,0.86,8.74,14.0,7.12,369.0,183.0,5.3,0.0
broccoli carrot chicken dark exclude green leafy sauce turkeystuffing vegetable,Quantity not specified,162.0,27.0,14.85,0.86,8.75,17.0,7.17,361.0,76.0,0.9,0.0
bread chicken patty,1 patty,75.0,19.0,12.84,0.95,19.58,24.0,14.85,532.0,0.0,0.0,0.3
boneless bread chicken freeze meal nugget patty potato vegetable,1 Banquet meal (6.75 oz),191.0,23.0,16.0,0.66,8.1,25.0,10.68,376.0,9.0,3.5,0.1
chicken salad sandwich wheat,Quantity not specified,180.0,67.0,17.06,1.36,13.83,29.0,13.08,469.0,11.0,0.5,0.0
chicken salad sandwich white,1 miniature/slider,90.0,83.0,18.32,1.43,13.7,19.0,12.42,473.0,11.0,0.5,0.0
chicken salad sandwich wrap,Quantity not specified,200.0,149.0,16.99,1.41,16.56,18.0,12.89,603.0,38.0,0.5,0.4
chicken salad spread,Quantity not specified,42.0,10.0,7.41,0.61,13.52,10.0,11.64,653.0,42.0,1.0,0.2
chicken skin,Quantity not specified,30.0,14.0,0.0,1.5,40.34,15.0,20.19,387.0,77.0,0.0,0.2
chicken strip tender,1 chicken fry,14.0,17.0,17.25,0.73,13.95,28.0,19.22,769.0,3.0,1.1,0.2
bread chicken fast food strip tender,1 chicken fry,14.0,17.0,17.25,0.73,13.95,28.0,19.22,769.0,3.0,1.1,0.2
bread chicken freeze strip tender,1 tender or finger,17.0,39.0,14.86,0.84,13.58,29.0,14.62,527.0,7.0,0.5,0.1
bread chicken source strip tender,"1 tender, strip, or finger",50.0,24.0,16.53,0.76,13.84,28.0,17.84,696.0,4.0,0.9,0.2
bread chicken restaurant strip tender,"1 tender, strip, or finger",50.0,17.0,16.9,0.72,15.62,27.0,18.82,791.0,3.0,1.1,0.3
bread chicken lunch school strip tender,Quantity not specified,80.0,32.0,22.86,1.99,12.9,24.0,15.67,511.0,16.0,0.6,0.3
chicken cook eat method n skin thigh,"1 cup, cooked, diced",135.0,16.0,0.12,0.95,15.08,21.0,22.51,335.0,20.0,0.0,0.0
chicken cook eat method n skin thigh,"1 oz, cooked",28.35,13.0,0.0,0.97,10.74,21.0,24.09,335.0,13.0,0.0,0.0
bake broil chicken eat fast food restaurant skin thigh,1 thigh,80.0,9.0,0.0,1.05,16.25,21.0,22.57,482.0,16.0,0.0,0.2
bake broil chicken eat precook skin thigh,Quantity not specified,80.0,16.0,0.12,0.95,15.08,21.0,22.51,335.0,20.0,0.0,0.0
bake broil chicken eat fast food restaurant skin thigh,1 thigh,70.0,9.0,0.0,1.1,9.89,23.0,24.02,486.0,8.0,0.0,0.2
bake broil chicken eat precook skin thigh,"1 cup, cooked, diced",135.0,13.0,0.0,0.97,10.74,21.0,24.09,335.0,13.0,0.0,0.0
bake broil chicken eat roast skin thigh,1 large thigh,105.0,9.0,0.0,1.07,14.62,22.0,23.12,332.0,16.0,0.0,0.2
bake broil chicken eat roast skin thigh,1 large thigh,90.0,9.0,0.0,1.12,8.1,24.0,24.61,336.0,8.0,0.0,0.2
bake chicken coat coat eat skin thigh,Quantity not specified,110.0,13.0,3.98,1.24,14.99,21.0,20.96,420.0,15.0,0.0,0.2
bake chicken coat coat eat skin thigh,"1 thigh, NS as to size",70.0,9.0,0.0,1.1,9.91,23.0,24.07,410.0,8.0,0.0,0.2
chicken coat coat eat fry prepare skinless thigh,"1 cup, cooked, diced",135.0,15.0,5.96,1.33,13.49,21.0,20.14,426.0,8.0,0.0,0.2
chicken coat coat eat fast food fry skin thigh,Quantity not specified,110.0,50.0,13.0,1.26,19.67,20.0,16.26,748.0,14.0,0.0,0.2
chicken coat coat eat fry precook skin thigh,Quantity not specified,110.0,16.0,7.15,1.34,19.01,19.0,18.23,464.0,13.0,0.0,0.2
chicken coat coat eat fry skin thigh,"1 oz, cooked",28.35,15.0,5.98,1.3,18.61,20.0,19.01,346.0,14.0,0.0,0.2
chicken coat coat eat fry restaurant skin thigh,1 thigh,110.0,50.0,13.0,1.26,19.67,20.0,16.26,748.0,14.0,0.0,0.2
chicken coat coat eat fast food fry skin thigh,1 thigh,70.0,27.0,6.31,1.19,12.8,19.0,19.42,613.0,11.0,0.0,0.2
chicken coat coat eat fry precook skin thigh,1 large thigh,90.0,9.0,0.0,1.1,9.91,23.0,24.07,410.0,8.0,0.0,0.2
chicken coat coat eat fry skin thigh,1 large thigh,90.0,9.0,0.0,1.1,9.93,23.0,24.12,334.0,8.0,0.0,0.2
chicken coat coat eat fry restaurant skin thigh,"1 cup, cooked, diced",135.0,27.0,6.31,1.19,12.8,19.0,19.42,613.0,11.0,0.0,0.2
chicken eat grill sauce skin thigh,"1 thigh, NS as to size",110.0,13.0,7.28,0.98,13.77,20.0,18.61,571.0,15.0,0.1,0.2
chicken eat grill sauce skin thigh,"1 cup, cooked, diced",165.0,13.0,7.28,1.01,8.56,21.0,19.8,575.0,8.0,0.1,0.2
chicken eat grill sauce skin thigh without,"1 cup, cooked, diced",135.0,9.0,0.0,1.05,16.29,21.0,22.61,406.0,16.0,0.0,0.2
chicken eat grill sauce skin thigh without,"1 oz, cooked",28.35,9.0,0.0,1.1,9.91,23.0,24.07,410.0,8.0,0.0,0.2
chicken eat rotisserie skin thigh,1 thigh,80.0,16.0,0.12,0.95,15.08,21.0,22.51,335.0,20.0,0.0,0.0
chicken eat rotisserie skin thigh,1 thigh,70.0,13.0,0.0,0.97,10.74,21.0,24.09,335.0,13.0,0.0,0.0
chicken eat saute skin thigh,1 large thigh,105.0,9.0,0.0,1.05,16.29,21.0,22.61,406.0,16.0,0.0,0.2
chicken eat saute skin thigh,1 large thigh,90.0,9.0,0.0,1.1,9.91,23.0,24.07,410.0,8.0,0.0,0.2
chicken eat skin stew thigh,"1 oz, cooked",28.35,11.0,0.0,1.2,15.31,23.0,22.39,383.0,16.0,0.0,0.3
chicken eat skin stew thigh,1 small thigh,70.0,12.0,0.0,1.26,8.56,25.0,24.36,384.0,8.0,0.0,0.3
chicken cook method n wing,Quantity not specified,70.0,33.0,0.6,0.93,18.04,23.0,23.42,579.0,26.0,0.0,0.0
bake broil chicken fast food restaurant wing,Quantity not specified,70.0,18.0,0.0,0.82,18.35,18.0,23.08,478.0,12.0,0.0,0.2
bake broil chicken precook wing,Quantity not specified,70.0,33.0,0.6,0.93,18.04,23.0,23.42,579.0,26.0,0.0,0.0
bake broil chicken roast wing,"1 wing, any size",35.0,18.0,0.0,0.83,16.74,19.0,23.6,404.0,12.0,0.0,0.2
bake chicken coat wing,"1 wing, any size",55.0,21.0,3.98,1.03,16.87,18.0,21.42,417.0,11.0,0.0,0.2
chicken coat fast food fry wing,1 drummette,22.0,61.0,15.0,1.29,21.28,22.0,17.77,843.0,14.0,0.0,0.1
chicken coat fry precook wing,1 drummette,22.0,22.0,7.15,1.16,20.59,17.0,18.62,461.0,10.0,0.0,0.2
chicken coat fry wing,Quantity not specified,110.0,22.0,5.96,1.11,20.24,17.0,19.39,419.0,11.0,0.0,0.2
chicken coat fry restaurant wing,Quantity not specified,110.0,61.0,15.0,1.29,21.28,22.0,17.77,843.0,14.0,0.0,0.1
chicken grill sauce wing,1 drummette,22.0,21.0,7.28,0.78,15.49,17.0,19.03,568.0,11.0,0.1,0.2
chicken grill sauce wing without,1 drummette,22.0,18.0,0.0,0.82,18.39,18.0,23.13,402.0,12.0,0.0,0.2
chicken rotisserie wing,"1 wing, any size",35.0,33.0,0.6,0.93,18.04,23.0,23.42,579.0,26.0,0.0,0.0
chicken saute wing,1 drummette,22.0,18.0,0.0,0.82,18.39,18.0,23.13,402.0,12.0,0.0,0.2
chicken stew wing,1 drummette,22.0,12.0,0.0,1.12,16.69,16.0,22.6,374.0,40.0,0.0,0.1
chicken gravy,1 chicken wing with gravy,44.0,13.0,1.58,0.54,5.21,17.0,18.88,526.0,6.0,0.0,0.0
chicken mole sauce,Quantity not specified,244.0,13.0,3.22,0.78,5.58,21.0,18.97,542.0,16.0,0.1,0.0
cheese chicken diet freeze meal noodle sauce,1 Healthy Choice meal (8.5 oz),241.0,10.0,11.66,0.6,2.86,14.0,10.07,171.0,2.0,0.0,0.0
chicken diet freeze meal rice vegetable,1 meal (8.5 oz),241.0,15.0,10.99,0.58,3.03,16.0,9.81,410.0,5.0,2.3,0.0
chicken cook eat method n n part skin,Quantity not specified,85.0,14.0,0.0,0.73,6.36,23.0,26.79,345.0,8.0,0.0,0.0
chicken cook eat method n part skin,"1 cup, cooked, diced",135.0,17.0,0.1,0.74,10.65,23.0,25.07,343.0,15.0,0.0,0.0
chicken cook eat method n part skin,1 piece,50.0,14.0,0.0,0.73,6.36,23.0,26.79,345.0,8.0,0.0,0.0
bake broil chicken eat n n part roast skin,1 piece,60.0,8.0,0.0,0.79,5.32,26.0,27.32,353.0,8.0,0.0,0.1
bake broil chicken eat n part roast skin,"1 cup, cooked, diced",135.0,9.0,0.0,0.81,10.8,23.0,24.7,338.0,16.0,0.0,0.1
bake broil chicken eat n part roast skin,"1/2 chicken (yield after cooking, bone and skin removed)",245.0,8.0,0.0,0.79,5.32,26.0,27.32,353.0,8.0,0.0,0.1
bake chicken coat coat eat n part skin,1 piece,85.0,44.0,7.14,0.86,15.02,24.0,21.75,671.0,14.0,0.0,0.1
bake chicken coat coat eat n part skin,"1 cup, cooked, diced",135.0,22.0,0.07,0.75,6.58,25.0,26.18,528.0,8.0,0.0,0.1
chicken coat coat eat fry n part skin,Quantity not specified,85.0,44.0,7.14,0.86,15.02,24.0,21.75,671.0,14.0,0.0,0.1
chicken coat coat eat fry n part skin,1 slice,60.0,22.0,0.07,0.75,6.58,25.0,26.18,528.0,8.0,0.0,0.1
chicken eat grill n n part sauce skin,Quantity not specified,85.0,13.0,7.31,0.75,6.36,23.0,21.98,527.0,8.0,0.1,0.0
