ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
baby mango toddler,1 tub,70.0,10.0,14.98,0.16,0.38,10.0,0.82,1.0,40.0,18.2,0.0
baby meat stick toddler,1 jar,70.0,83.0,1.4,0.92,14.2,10.0,13.7,295.0,6.0,1.5,0.4
baby meat toddler,1 jar,70.0,41.0,1.25,1.1,5.99,12.0,12.58,47.0,3.0,1.9,0.5
baby fruit multiple stage toddler,Quantity not specified,110.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
baby fruit multiple stage toddler,1 tub,140.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
baby multiple stage toddler vegetable,1 tub,110.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
baby multiple stage toddler vegetable,1 tub,140.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
baby peach stage toddler,1 tablespoon,15.0,4.0,14.48,0.23,0.33,7.0,0.94,4.0,34.0,46.1,0.0
baby peach stage toddler,1 tub,110.0,4.0,14.48,0.23,0.33,7.0,0.94,4.0,34.0,46.1,0.0
baby pear stage toddler,1 tub,70.0,8.0,10.8,0.24,0.2,8.0,0.3,1.0,1.0,24.5,0.0
baby pear stage toddler,1 pouch,110.0,8.0,11.6,0.25,0.1,9.0,0.3,1.0,1.0,22.0,0.0
baby pea stage toddler,1 pouch,90.0,18.0,8.36,0.95,0.43,17.0,3.27,5.0,11.0,0.6,0.0
baby pea stage toddler,1 tablespoon,15.0,18.0,8.36,0.95,0.43,17.0,3.27,5.0,11.0,0.6,0.0
baby prune toddler,1 tub,70.0,21.0,23.52,0.4,0.2,17.0,1.0,1.0,3.0,1.3,0.0
baby pudding toddler,1 tub,110.0,54.0,17.58,0.22,0.98,5.0,1.76,26.0,13.0,0.4,0.5
baby fruit puff toddler,Quantity not specified,7.0,535.0,85.79,24.74,2.3,60.0,6.19,13.0,1.0,1.3,0.0
baby puff toddler vegetable,Quantity not specified,7.0,535.0,85.79,24.74,2.3,60.0,6.19,13.0,1.0,1.3,0.0
baby snack toddler,1 piece,1.0,518.0,83.4,20.42,3.29,58.0,7.34,83.0,4.0,2.1,0.0
baby squash stage toddler,1 tub,70.0,24.0,5.73,0.32,0.2,14.0,0.81,5.0,85.0,0.3,0.0
baby squash stage toddler,1 tub,110.0,24.0,5.73,0.32,0.2,14.0,0.81,5.0,85.0,0.3,0.0
baby potato stage sweet toddler,Quantity not specified,110.0,16.0,13.2,0.37,0.1,13.0,1.1,22.0,322.0,9.9,0.0
baby potato stage sweet toddler,1 tub,110.0,16.0,14.0,0.39,0.1,12.0,1.1,18.0,332.0,9.6,0.0
baby toddler turkey,1 tablespoon,15.0,41.0,1.4,0.7,6.2,12.0,11.5,49.0,0.0,2.2,0.8
baby toddler vegetable,1 pouch,110.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
baby meat toddler vegetable,1 jar,110.0,34.0,11.18,0.95,1.08,19.0,2.95,32.0,202.0,5.8,0.0
baby grain toddler vegetable,1 pouch,110.0,33.0,12.01,0.89,0.5,20.0,1.84,31.0,225.0,6.2,0.0
baby toddler wheel,1 piece,2.0,57.0,78.89,1.28,6.41,51.0,10.0,350.0,8.0,0.0,0.0
baby melt toddler yogurt,1 piece,0.5,457.0,71.82,0.0,4.0,53.0,14.29,286.0,107.0,57.1,0.1
baby plain toddler yogurt,Quantity not specified,110.0,127.0,5.57,0.0,4.48,11.0,3.82,42.0,48.0,0.5,1.2
baby fruit toddler yogurt,1 container,110.0,116.0,11.9,0.05,4.04,10.0,3.48,41.0,43.0,1.3,1.2
bacalaitos fritos,Quantity not specified,85.0,105.0,36.1,2.87,8.63,26.0,14.43,233.0,1.0,0.0,0.3
bacon dress tomato,Quantity not specified,30.0,4.0,2.0,0.27,35.0,6.0,1.8,905.0,11.0,8.8,0.0
bacon biscuit sandwich,1 regular,105.0,224.0,29.26,2.03,23.2,20.0,13.71,1090.0,66.0,0.0,0.8
bacon bit,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0
bacon cook fresh pork side,Guideline amount if topping,8.0,11.0,1.7,0.95,35.09,31.0,33.92,1684.0,11.0,0.0,0.4
bacon meatless strip,1 strip,5.0,23.0,5.31,2.41,29.52,19.0,11.69,1465.0,4.0,0.0,0.0
bacon cook meat n type,Guideline amount on regular sandwich,16.0,12.0,1.9,1.12,35.8,34.0,37.41,1757.0,11.0,0.0,0.4
bacon cook meat n reduce sodium type,Quantity not specified,16.0,10.0,4.8,0.72,20.0,19.0,13.33,900.0,8.0,24.0,0.2
bacon sandwich use,Guideline amount on large sandwich,24.0,13.0,2.01,1.21,36.19,35.0,39.36,1798.0,11.0,0.0,0.4
bacon use vegetable,Guideline amount per cup of vegetable,8.0,11.0,1.7,0.95,35.09,31.0,33.92,1684.0,11.0,0.0,0.4
bacon lettuce sandwich tomato wheat,Quantity not specified,105.0,99.0,27.53,2.03,7.76,40.0,12.02,515.0,31.0,3.8,0.1
bacon lettuce sandwich tomato white,Quantity not specified,105.0,128.0,29.71,2.15,7.54,23.0,10.89,521.0,31.0,3.7,0.1
bagel,1 large,131.0,70.0,52.38,3.57,1.32,29.0,10.56,422.0,0.0,0.0,0.0
bagel chip,Quantity not specified,18.0,24.0,66.36,5.05,15.14,39.0,12.34,233.0,0.0,0.0,0.0
bagel multigrain,1 miniature,26.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel multigrain raisin,1 small,69.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
bagel bran oat,1 miniature,26.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel pumpernickel,1 large,131.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel wheat,1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel bran wheat,1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel fruit nut wheat,Quantity not specified,105.0,98.0,50.78,2.62,2.77,51.0,9.52,389.0,0.0,0.2,0.0
bagel raisin wheat,Quantity not specified,105.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
bagel grain white whole,1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel wheat whole,1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
bagel raisin wheat whole,1 miniature,26.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
bagel fruit raisin,1 large,131.0,64.0,48.36,3.23,1.25,27.0,9.55,380.0,0.0,0.2,0.0
bagel raisin,1 Bagel Thin,46.0,69.0,55.07,3.39,1.21,30.0,9.83,382.0,0.0,0.2,0.0
bake bean,Quantity not specified,130.0,39.0,21.57,1.4,0.89,30.0,4.52,391.0,1.0,0.0,0.0
bake bean fast food restaurant,Quantity not specified,130.0,38.0,23.29,1.36,1.35,29.0,4.38,491.0,1.0,0.0,0.0
bake bean reduce sodium,1 cup,260.0,50.0,20.35,0.29,0.4,32.0,4.77,270.0,5.0,2.9,0.0
bake bean vegetarian,Quantity not specified,130.0,34.0,21.14,1.19,0.37,27.0,4.75,343.0,5.0,0.0,0.0
baklava,1 cubic inch,13.0,40.0,37.55,1.98,29.34,38.0,6.58,311.0,157.0,1.3,0.1
bamboo cook shoot,1 cup,155.0,8.0,3.13,0.31,2.94,4.0,1.68,15.0,12.0,1.0,0.0
banana chip,Quantity not specified,40.0,18.0,58.4,1.25,33.6,76.0,2.3,6.0,4.0,6.3,0.0
banana nectar,1 fl oz (NFS),31.0,4.0,18.01,0.0,0.13,10.0,0.26,2.0,0.0,4.3,0.0
banana pudding,Quantity not specified,130.0,41.0,28.0,0.42,4.26,13.0,2.57,128.0,20.0,3.2,0.3
banana split,1 banana split,490.0,74.0,32.59,0.17,6.88,18.0,2.42,97.0,66.0,4.5,0.1
bake banana,1 banana,140.0,13.0,32.43,0.06,3.21,30.0,0.82,3.0,28.0,10.4,0.0
banana,Quantity not specified,126.0,5.0,22.71,0.0,0.28,28.0,0.74,0.0,1.0,12.0,0.0
bao bun,Quantity not specified,100.0,140.0,39.78,2.86,7.58,20.0,11.17,354.0,0.0,0.2,0.2
bao bun meat,Quantity not specified,100.0,107.0,54.27,2.63,2.94,23.0,6.73,268.0,0.0,0.3,0.1
barbecue beef bun sandwich wheat,Quantity not specified,180.0,65.0,23.3,2.45,8.52,31.0,17.02,544.0,4.0,0.2,0.1
barbecue beef bun sandwich white,1 regular sandwich,180.0,59.0,24.86,2.54,8.5,20.0,16.48,562.0,4.0,0.6,0.1
barbecue beef sauce,1 cup,135.0,10.0,0.0,2.72,15.15,21.0,27.97,411.0,4.0,0.0,0.1
barbecue beef sauce,1 slice,60.0,17.0,12.23,2.1,10.79,18.0,19.83,596.0,6.0,0.2,0.1
barbecue chicken,Quantity not specified,180.0,20.0,12.23,0.7,4.64,20.0,19.0,550.0,9.0,0.2,0.0
