target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
carrot mix pea vegetable,,andor assort carrot dress include lettuce salad tomato vegetable,True,andor assort carrot dress include lettuce salad tomato vegetable,1 Burger King side salad,98.0,32.0,4.58,0.31,0.2,19.0,1.07,39.0,239.0,9.6,0.0,,,,,
parsley,,parsley,True,parsley,Quantity not specified,4.0,138.0,6.33,6.2,0.79,50.0,2.97,56.0,421.0,133.0,0.0,,,,,
brownie,,nan,True,,,,,,,,,,,,,,,,,,
salami,,salami,True,salami,"1 slice, NFS",28.0,24.0,0.72,1.36,31.65,20.0,21.07,1756.0,11.0,0.0,0.9,,,,,
cream dairy ice,,nan,True,,,,,,,,,,,,,,,,,,
cake carrot,,nan,True,,,,,,,,,,,,,,,,,,
addition beetroot salt steam without,,beet cook green,True,beet cook green,1 cup,150.0,122.0,4.51,2.68,2.87,73.0,2.3,365.0,325.0,21.9,0.0,,,,,
dress salad,,nan,True,,,,,,,,,,,,,,,,,,
dry meat,,beef round steak,True,beef round steak,1 regular,160.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0,,,,,
chop mix salad sauce without,,assort carrot dress exclude lettuce salad tomato vegetable,True,assort carrot dress exclude lettuce salad tomato vegetable,Quantity not specified,74.0,31.0,4.09,0.31,0.19,20.0,1.19,34.0,178.0,15.8,0.0,,,,,
feta,,cheese feta,True,cheese feta,1 cubic inch,17.0,371.0,5.58,0.07,19.08,18.0,19.71,1034.0,147.0,0.0,0.0,,,,,
bread,,nan,True,,,,,,,,,,,,,,,,,,
chickpea,,chickpea,True,chickpea,Quantity not specified,92.0,46.0,25.48,2.7,8.91,45.0,8.23,222.0,1.0,1.1,0.0,,,,,
oil,,oil olive,True,oil olive,1 tablespoon,14.0,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,
dress mayonnaise potato salad yogurt,,make mayonnaise potato salad,True,make mayonnaise potato salad,Quantity not specified,138.0,10.0,15.81,0.3,11.14,16.0,1.51,179.0,4.0,5.8,0.0,,,,,
balsamic dress salad,,nan,True,,,,,,,,,,,,,,,,,,
romanesco,,nan,True,,,,,,,,,,,,,,,,,,
kolhrabi,,kohlrabi,True,kohlrabi,Quantity not specified,68.0,24.0,6.2,0.4,0.1,19.0,1.7,20.0,2.0,62.0,0.0,,,,,
alfa sprout,,alfalfa sprout,True,alfalfa sprout,Quantity not specified,17.0,32.0,2.1,0.96,0.69,27.0,3.99,6.0,8.0,8.2,0.0,,,,,
brussel sprout,,brussels sprout,True,brussels sprout,1 cup,90.0,42.0,8.95,1.4,0.3,23.0,3.38,25.0,38.0,85.0,0.0,,,,,
bacon cook,,bacon beef cook,True,bacon beef cook,Guideline amount if topping,8.0,9.0,1.4,3.14,34.4,27.0,31.3,1500.0,0.0,0.0,0.2,,,,,
bulgur,,nan,True,,,,,,,,,,,,,,,,,,
pumpkin,,pie pumpkin,True,pie pumpkin,Quantity not specified,150.0,91.0,36.34,1.24,9.78,19.0,4.76,252.0,327.0,2.2,0.3,,,,,
black tea,,black hot leaf tea,True,black hot leaf tea,1 small,360.0,0.0,0.3,0.02,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,,,
tea,,black hot leaf tea,True,black hot leaf tea,1 small,360.0,0.0,0.3,0.02,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,,,
kiwi,,fruit kiwi,True,fruit kiwi,1 fruit,75.0,35.0,14.0,0.24,0.44,16.0,1.06,5.0,4.0,74.7,0.0,,,,,
chocolate egg small,,chocolate milk,True,chocolate milk,1 individual school container,248.0,128.0,10.98,0.24,0.83,13.0,3.44,68.0,55.0,0.6,1.1,,,,,
cappuccino,,nan,True,,,,,,,,,,,,,,,,,,
chicken wing,,nan,True,,,,,,,,,,,,,,,,,,
addition addition fat salt stew without without zucchini,,sambar stew vegetable,True,sambar stew vegetable,Quantity not specified,124.0,19.0,11.77,1.67,2.71,23.0,4.33,207.0,7.0,3.2,0.0,,,,,
gruyère,,nan,True,,,,,,,,,,,,,,,,,,
black bread,,black bread,True,black bread,"1 slice, snack-size",10.0,68.0,47.5,2.87,3.1,54.0,8.7,596.0,0.0,0.0,0.0,,,,,
cheese fresh,,nan,True,,,,,,,,,,,,,,,,,,
mango,,mango,True,mango,1 slice/chunk,25.0,11.0,14.98,0.16,0.38,10.0,0.82,1.0,54.0,36.4,0.0,,,,,
addition salt spinach steam without,,artichoke dip spinach,True,artichoke dip spinach,1 individual container,70.0,120.0,5.07,0.44,32.76,22.0,4.21,620.0,151.0,1.6,0.1,,,,,
fish,,fish,True,fish,1 cubic inch,17.0,17.0,6.64,0.86,14.52,27.0,19.32,350.0,29.0,0.9,5.3,,,,,
crisp,,apple crisp,True,apple crisp,1 cup,250.0,15.0,30.18,1.0,9.59,30.0,2.81,119.0,76.0,0.6,0.0,,,,,
pork,,pork,True,pork,1 cubic inch,17.0,10.0,0.0,0.79,8.67,26.0,27.14,348.0,0.0,0.0,0.7,,,,,
rosti,,nan,True,,,,,,,,,,,,,,,,,,
chocolate hazelnut milk,,chocolate hazelnut spread,True,chocolate hazelnut spread,Guideline amount per slice of bread/roll,20.0,108.0,62.36,4.38,29.73,64.0,5.41,41.0,1.0,0.0,0.0,,,,,
