name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
Pearl onions,recipe_1_person,46.25,27.0,6.49,0.33,2.59,8.0,0.7,129.0,11.0,4.9,0.0,12.4875,3.001625,0.152625,1.197875,3.7,0.32375,59.6625,5.0875,2.2662500000000003,0.0
Tzatziki,recipe_1_person,87.5,89.0,20.02,0.66,3.67,29.0,9.22,58.0,7.0,0.0,0.7,77.875,17.5175,0.5775,3.21125,25.375,8.0675,50.75,6.125,0.0,0.6124999999999999
Fruit compotes,recipe_1_person,62.0,11.0,13.63,0.1,0.45,5.0,0.17,8.0,16.0,29.7,0.0,6.82,8.450600000000001,0.062,0.279,3.1,0.1054,4.96,9.92,18.414,0.0
"Bread, olive",recipe_1_person,26.0,146.0,49.38,3.63,7.99,22.0,8.2,700.0,0.0,0.0,0.0,37.96,12.8388,0.9438,2.0774,5.72,2.132,182.0,0.0,0.0,0.0
Italian salad dressing,recipe_1_person,1.75,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0175,0.0,0.0098,1.75,0.0,0.0,0.035,0.0,0.0,0.0
"Cake, marble",recipe_1_person,43.75,49.0,22.31,1.74,51.36,168.0,22.21,426.0,0.0,0.0,0.0,21.4375,9.760625,0.76125,22.47,73.5,9.716875,186.375,0.0,0.0,0.0
Buckwheat pancake,recipe_1_person,3.75,13.0,15.0,0.39,0.46,43.0,7.62,529.0,0.0,0.0,0.0,0.4875,0.5625,0.014625,0.01725,1.6125,0.28575,19.8375,0.0,0.0,0.0
Soft cheese,1 cracker-size slice,9.0,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0,76.41,0.3897,0.0351,2.8134,2.52,1.863,86.76,26.46,0.0,0.27
"Ham, raw",1 thick slice,90.0,8.0,1.58,0.84,3.87,20.0,19.04,1149.0,13.0,0.0,0.7,7.2,1.4220000000000002,0.7559999999999999,3.483,18.0,17.136,1034.1,11.7,0.0,0.6299999999999999
Ham,1 thick slice,90.0,8.0,1.58,0.84,3.87,20.0,19.04,1149.0,13.0,0.0,0.7,7.2,1.4220000000000002,0.7559999999999999,3.483,18.0,17.136,1034.1,11.7,0.0,0.6299999999999999
Hard cheese,Quantity not specified,56.0,16.0,0.0,1.5,10.9,9.0,13.83,941.0,0.0,0.0,0.9,8.96,0.0,0.84,6.104,5.04,7.744800000000001,526.96,0.0,0.0,0.504
Cottage cheese,1 cup,210.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,216.3,9.050999999999998,0.273,4.829999999999999,18.9,23.1,674.1,144.9,0.0,0.0
